,province,confirmed_date,recovery_date,total_medical,sizeofarea
123,Chungcheongnam-do,0,9,578.0608126533951,257.5949690120306
124,Chungcheongnam-do,1,17,578.0608126533951,257.5949690120306
125,Chungcheongnam-do,8,19,578.0608126533951,257.5949690120306
126,Chungcheongnam-do,11,20,578.0608126533951,257.5949690120306
127,Chungcheongnam-do,4,26,578.0608126533951,257.5949690120306
128,Chungcheongnam-do,0,22,578.0608126533951,257.5949690120306
129,Chungcheongnam-do,2,20,578.0608126533951,257.5949690120306
130,Chungcheongnam-do,6,44,578.0608126533951,257.5949690120306
131,Chungcheongnam-do,10,38,578.0608126533951,257.5949690120306
132,Chungcheongnam-do,5,29,578.0608126533951,257.5949690120306
133,Chungcheongnam-do,2,44,576.6077844311377,257.43796330052254
134,Chungcheongnam-do,1,31,576.6077844311377,257.43796330052254
135,Chungcheongnam-do,1,26,576.6077844311377,257.43796330052254
136,Chungcheongnam-do,5,9,576.965432770822,257.5976424838984
137,Jeollabuk-do,19,26,477.6216715001318,224.51592514561904
138,Jeollabuk-do,6,42,477.6216715001318,224.51592514561904
139,Gyeongsangbuk-do,4,33,594.1801117318436,139.7024116009037
140,Gyeongsangbuk-do,4,23,594.1801117318436,139.7024116009037
141,Gyeongsangbuk-do,10,24,594.1801117318436,139.7024116009037
142,Gyeongsangbuk-do,12,24,594.1801117318436,139.7024116009037
143,Gyeongsangbuk-do,6,23,594.1801117318436,139.7024116009037
144,Gyeongsangbuk-do,12,33,594.1801117318436,139.7024116009037
145,Gyeongsangbuk-do,4,45,594.1801117318436,139.7024116009037
146,Gyeongsangbuk-do,9,34,594.1801117318436,139.7024116009037
147,Gyeongsangnam-do,6,54,621.7748981858571,318.6743833017078
148,Gyeongsangnam-do,3,22,621.7748981858571,318.6743833017078
149,Gyeongsangnam-do,6,6,621.7748981858571,318.6743833017078
150,Gyeongsangnam-do,1,35,621.7748981858571,318.6743833017078
151,Gyeongsangnam-do,3,36,621.7748981858571,318.6743833017078
152,Gyeongsangnam-do,2,37,621.7748981858571,318.6743833017078
153,Gyeongsangnam-do,1,43,621.7748981858571,318.6743833017078
154,Gyeongsangnam-do,2,29,621.1293965198075,318.34354838709675
155,Gyeongsangnam-do,9,35,621.1293965198075,318.34354838709675
156,Gyeongsangnam-do,0,28,621.1293965198075,318.34354838709675
157,Gyeongsangnam-do,1,23,621.1293965198075,318.34354838709675
158,Gyeongsangnam-do,4,46,621.1293965198075,318.34354838709675
159,Gyeongsangnam-do,5,46,621.1293965198075,318.34354838709675
160,Gyeongsangnam-do,16,28,621.1293965198075,318.34354838709675
161,Gyeongsangnam-do,0,18,621.1293965198075,318.34354838709675
162,Gyeongsangnam-do,-8,42,621.1293965198075,318.34354838709675
163,Gyeongsangnam-do,7,25,621.1293965198075,318.34354838709675
164,Gyeongsangnam-do,4,36,618.7047970479705,318.157495256167
165,Gyeongsangnam-do,2,9,618.7047970479705,318.157495256167
166,Gyeongsangnam-do,1,24,618.7047970479705,318.157495256167
167,Gyeongsangnam-do,2,8,618.329704797048,317.9646110056926
