,date,province,confirmed,released,deceased,population,infection_rate,recovery_rate,dead_rate,total_medical,sizeofarea
2345,2020-06-05,Jeju-do,15,13,0,671316.0,0.0022344171746241713,86.66666666666667,0.0,535.3397129186603,362.8735135135135
2346,2020-06-06,Seoul,947,650,4,9720846.0,0.009741950443407909,68.6378035902851,0.42238648363252373,422.18657980456027,16067.514049586776
2347,2020-06-06,Busan,147,139,3,3404423.0,0.004317912315831493,94.5578231292517,2.0408163265306123,498.67042624871834,4421.328571428571
2348,2020-06-06,Daegu,6886,6638,188,2427954.0,0.28361328097649297,96.3984896892245,2.7301771710717397,473.46996879875195,2746.554298642534
2349,2020-06-06,Incheon,273,110,0,2947217.0,0.009262975885386111,40.29304029304029,0.0,649.7391975308642,2772.546566321731
2350,2020-06-06,Gwangju,32,30,0,1455048.0,0.002199240162523848,93.75,0.0,504.6992715920916,2904.2874251497005
2351,2020-06-06,Daejeon,46,42,1,1471040.0,0.0031270393735044594,91.30434782608695,2.1739130434782608,485.0115397296406,2724.1481481481483
2352,2020-06-06,Ulsan,52,46,1,1142190.0,0.004552657613882104,88.46153846153845,1.9230769230769231,628.6130985140342,1075.5084745762713
2353,2020-06-06,Sejong,47,47,0,345341.0,0.013609736463379674,100.0,0.0,659.0477099236641,742.668817204301
2354,2020-06-06,Gyeonggi-do,915,673,19,13338020.0,0.006860088678829392,73.55191256830601,2.0765027322404372,638.9470658682635,1309.1892422457793
2355,2020-06-06,Gangwon-do,58,51,3,1539282.0,0.003767990530650004,87.93103448275862,5.172413793103448,602.6945967110415,91.47147611124316
2356,2020-06-06,Chungcheongbuk-do,60,49,0,1597593.0,0.003755649905827079,81.66666666666667,0.0,572.2037965616046,215.65780237580992
2357,2020-06-06,Chungcheongnam-do,148,143,0,2119771.0,0.006981886250920501,96.62162162162163,0.0,576.965432770822,257.5976424838984
2358,2020-06-06,Jeollabuk-do,21,19,0,1808802.0,0.0011609894283619766,90.47619047619048,0.0,476.878987608753,224.16681125294338
2359,2020-06-06,Jeollanam-do,20,17,0,1854618.0,0.0010783891885013518,85.0,0.0,544.6748898678414,150.2444912508101
2360,2020-06-06,Gyeongsangbuk-do,1383,1303,54,2646493.0,0.05225783706966162,94.21547360809834,3.9045553145336225,589.0258179390163,139.0476015341775
2361,2020-06-06,Gyeongsangnam-do,124,122,0,3349454.0,0.0037020959236938322,98.38709677419355,0.0,617.9804428044281,317.78500948766606
2362,2020-06-06,Jeju-do,15,13,0,671316.0,0.0022344171746241713,86.66666666666667,0.0,535.3397129186603,362.8735135135135
2363,2020-06-07,Seoul,974,651,4,9720846.0,0.010019704046335062,66.83778234086243,0.41067761806981523,422.18657980456027,16067.514049586776
